population,median_income,poverty_pop,NAME,state,county,tract,geoid
4453.0,100862.0,293.0,Census Tract 1507; Cook County; Illinois,17,31,150700,17031150700
4668.0,85714.0,656.0,Census Tract 1508; Cook County; Illinois,17,31,150800,17031150800
2816.0,93879.0,301.0,Census Tract 1510.01; Cook County; Illinois,17,31,151001,17031151001
4892.0,75893.0,536.0,Census Tract 1510.02; Cook County; Illinois,17,31,151002,17031151002
5447.0,77521.0,609.0,Census Tract 1511; Cook County; Illinois,17,31,151100,17031151100
4057.0,88939.0,386.0,Census Tract 1512; Cook County; Illinois,17,31,151200,17031151200
2757.0,107137.0,144.0,Census Tract 1601; Cook County; Illinois,17,31,160100,17031160100
3356.0,124364.0,44.0,Census Tract 1602; Cook County; Illinois,17,31,160200,17031160200
3685.0,77721.0,605.0,Census Tract 1603; Cook County; Illinois,17,31,160300,17031160300
5171.0,72325.0,576.0,Census Tract 1604; Cook County; Illinois,17,31,160400,17031160400
3270.0,73946.0,216.0,Census Tract 1605.01; Cook County; Illinois,17,31,160501,17031160501
4012.0,100147.0,294.0,Census Tract 1605.02; Cook County; Illinois,17,31,160502,17031160502
3003.0,83333.0,126.0,Census Tract 1606.01; Cook County; Illinois,17,31,160601,17031160601
3757.0,84955.0,431.0,Census Tract 1606.02; Cook County; Illinois,17,31,160602,17031160602
6265.0,92614.0,340.0,Census Tract 1607; Cook County; Illinois,17,31,160700,17031160700
5236.0,82691.0,312.0,Census Tract 1608; Cook County; Illinois,17,31,160800,17031160800
2420.0,114861.0,76.0,Census Tract 1609; Cook County; Illinois,17,31,160900,17031160900
1986.0,102159.0,236.0,Census Tract 1610; Cook County; Illinois,17,31,161000,17031161000
2024.0,158393.0,117.0,Census Tract 1611; Cook County; Illinois,17,31,161100,17031161100
2873.0,70391.0,467.0,Census Tract 1612; Cook County; Illinois,17,31,161200,17031161200
3769.0,53969.0,623.0,Census Tract 1613; Cook County; Illinois,17,31,161300,17031161300
2030.0,46571.0,464.0,Census Tract 1701; Cook County; Illinois,17,31,170100,17031170100
3752.0,105855.0,179.0,Census Tract 1702; Cook County; Illinois,17,31,170200,17031170200
4981.0,85774.0,222.0,Census Tract 1703; Cook County; Illinois,17,31,170300,17031170300
3989.0,103016.0,276.0,Census Tract 1704; Cook County; Illinois,17,31,170400,17031170400
5161.0,87786.0,122.0,Census Tract 1705; Cook County; Illinois,17,31,170500,17031170500
2490.0,76346.0,215.0,Census Tract 1706; Cook County; Illinois,17,31,170600,17031170600
3260.0,82868.0,184.0,Census Tract 1707; Cook County; Illinois,17,31,170700,17031170700
4009.0,64769.0,339.0,Census Tract 1708; Cook County; Illinois,17,31,170800,17031170800
1970.0,68500.0,510.0,Census Tract 1709; Cook County; Illinois,17,31,170900,17031170900
6829.0,81950.0,604.0,Census Tract 1710; Cook County; Illinois,17,31,171000,17031171000
4103.0,92383.0,226.0,Census Tract 1711; Cook County; Illinois,17,31,171100,17031171100
6544.0,83920.0,1064.0,Census Tract 1801; Cook County; Illinois,17,31,180100,17031180100
2338.0,61250.0,129.0,Census Tract 1901; Cook County; Illinois,17,31,190100,17031190100
5858.0,80576.0,993.0,Census Tract 1902; Cook County; Illinois,17,31,190200,17031190200
5289.0,69309.0,785.0,Census Tract 1903; Cook County; Illinois,17,31,190300,17031190300
4119.0,92639.0,399.0,Census Tract 1904.01; Cook County; Illinois,17,31,190401,17031190401
4896.0,56523.0,656.0,Census Tract 1904.02; Cook County; Illinois,17,31,190402,17031190402
3986.0,71176.0,50.0,Census Tract 1906.01; Cook County; Illinois,17,31,190601,17031190601
5554.0,61308.0,819.0,Census Tract 1906.02; Cook County; Illinois,17,31,190602,17031190602
2835.0,64063.0,220.0,Census Tract 1907.01; Cook County; Illinois,17,31,190701,17031190701
4707.0,50457.0,1206.0,Census Tract 1907.02; Cook County; Illinois,17,31,190702,17031190702
6049.0,52404.0,1084.0,Census Tract 1908; Cook County; Illinois,17,31,190800,17031190800
1869.0,61500.0,292.0,Census Tract 1909; Cook County; Illinois,17,31,190900,17031190900
2556.0,63611.0,177.0,Census Tract 1910; Cook County; Illinois,17,31,191000,17031191000
6651.0,50513.0,2142.0,Census Tract 1911; Cook County; Illinois,17,31,191100,17031191100
3775.0,57292.0,733.0,Census Tract 1912; Cook County; Illinois,17,31,191200,17031191200
5211.0,55759.0,615.0,Census Tract 1913.01; Cook County; Illinois,17,31,191301,17031191301
4439.0,55072.0,274.0,Census Tract 1913.02; Cook County; Illinois,17,31,191302,17031191302
3666.0,68393.0,475.0,Census Tract 2001; Cook County; Illinois,17,31,200100,17031200100
4435.0,64583.0,780.0,Census Tract 2002; Cook County; Illinois,17,31,200200,17031200200
1866.0,50515.0,353.0,Census Tract 2003; Cook County; Illinois,17,31,200300,17031200300
3408.0,70046.0,633.0,Census Tract 2004.01; Cook County; Illinois,17,31,200401,17031200401
5072.0,77288.0,518.0,Census Tract 2004.02; Cook County; Illinois,17,31,200402,17031200402
4194.0,107717.0,221.0,Census Tract 2101; Cook County; Illinois,17,31,210100,17031210100
2491.0,63077.0,797.0,Census Tract 2104; Cook County; Illinois,17,31,210400,17031210400
2866.0,61678.0,729.0,Census Tract 2105.01; Cook County; Illinois,17,31,210501,17031210501
4412.0,74855.0,703.0,Census Tract 2105.02; Cook County; Illinois,17,31,210502,17031210502
2818.0,93547.0,270.0,Census Tract 2106.01; Cook County; Illinois,17,31,210601,17031210601
4362.0,102625.0,406.0,Census Tract 2106.02; Cook County; Illinois,17,31,210602,17031210602
3724.0,93026.0,211.0,Census Tract 2107; Cook County; Illinois,17,31,210700,17031210700
1142.0,96579.0,65.0,Census Tract 2108; Cook County; Illinois,17,31,210800,17031210800
3174.0,109844.0,216.0,Census Tract 2109; Cook County; Illinois,17,31,210900,17031210900
1998.0,100461.0,158.0,Census Tract 2203; Cook County; Illinois,17,31,220300,17031220300
2670.0,114803.0,283.0,Census Tract 2204; Cook County; Illinois,17,31,220400,17031220400
2810.0,94867.0,305.0,Census Tract 2205; Cook County; Illinois,17,31,220500,17031220500
1538.0,120427.0,86.0,Census Tract 2206.01; Cook County; Illinois,17,31,220601,17031220601
4316.0,61875.0,697.0,Census Tract 2206.02; Cook County; Illinois,17,31,220602,17031220602
3077.0,75625.0,392.0,Census Tract 2207.01; Cook County; Illinois,17,31,220701,17031220701
3959.0,79969.0,600.0,Census Tract 2207.02; Cook County; Illinois,17,31,220702,17031220702
3090.0,62917.0,459.0,Census Tract 2209.01; Cook County; Illinois,17,31,220901,17031220901
3194.0,73239.0,535.0,Census Tract 2209.02; Cook County; Illinois,17,31,220902,17031220902
2571.0,82102.0,338.0,Census Tract 2210; Cook County; Illinois,17,31,221000,17031221000
